title,available_globally?,release_date,hours_viewed,month,year,season_number,show_name
The Night Agent: Season 1,Yes,2023-03-23,812100000,March,2023.0,1,The Night Agent
Ginny & Georgia: Season 2,Yes,2023-01-05,665100000,January,2023.0,2,Ginny & Georgia
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,622800000,December,2022.0,1,The Glory // 더 글로리: 시즌 1
Wednesday: Season 1,Yes,2022-11-23,507700000,November,2022.0,1,Wednesday
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503000000,May,2023.0,,Queen Charlotte: A Bridgerton Story
You: Season 4,Yes,2023-02-09,440600000,February,2023.0,4,You
La Reina del Sur: Season 3,No,2022-12-30,429600000,December,2022.0,3,La Reina del Sur
Outer Banks: Season 3,Yes,2023-02-23,402500000,February,2023.0,3,Outer Banks
Ginny & Georgia: Season 1,Yes,2021-02-24,302100000,February,2021.0,1,Ginny & Georgia
FUBAR: Season 1,Yes,2023-05-25,266200000,May,2023.0,1,FUBAR
Manifest: Season 4,Yes,2022-11-04,262600000,November,2022.0,4,Manifest
Kaleidoscope: Limited Series,Yes,2023-01-01,252500000,January,2023.0,,Kaleidoscope: Limited Series
Firefly Lane: Season 2,Yes,2022-12-02,251500000,December,2022.0,2,Firefly Lane
The Mother,Yes,2023-05-12,249900000,May,2023.0,,The Mother
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,235000000,January,2023.0,1,Physical: 100 // 피지컬: 100: 시즌 1
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,234800000,January,2023.0,,Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈
Love Is Blind: Season 4,Yes,2023-03-24,229700000,March,2023.0,4,Love Is Blind
BEEF: Season 1,Yes,2023-04-06,221100000,April,2023.0,1,BEEF
The Diplomat: Season 1,Yes,2023-04-20,214100000,April,2023.0,1,The Diplomat
Luther: The Fallen Sun,Yes,2023-03-10,209700000,March,2023.0,,Luther: The Fallen Sun
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,206500000,May,2023.0,1,Fake Profile // Perfil falso: Temporada 1
Vikings: Valhalla: Season 2,Yes,2023-01-12,205500000,January,2023.0,2,Vikings: Valhalla
Extraction 2,Yes,2023-06-16,201800000,June,2023.0,,Extraction 2
"XO, Kitty: Season 1",Yes,2023-05-18,200700000,May,2023.0,1,"XO, Kitty"
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,2023-04-15,194700000,April,2023.0,,Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈
Shadow and Bone: Season 2,Yes,2023-03-16,192900000,March,2023.0,2,Shadow and Bone
Outer Banks: Season 1,Yes,2020-04-15,184000000,April,2020.0,1,Outer Banks
Sweet Tooth: Season 2,Yes,2023-04-27,182300000,April,2023.0,2,Sweet Tooth
You People,Yes,2023-01-27,181800000,January,2023.0,,You People
Perfect Match: Season 1,Yes,2023-02-14,176800000,February,2023.0,1,Perfect Match
Sex/Life: Season 2,Yes,2023-03-02,175500000,March,2023.0,2,Sex/Life
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,174300000,April,2023.0,2,The Marked Heart // Pálpito: Temporada 2
Murder Mystery 2,Yes,2023-03-31,173600000,March,2023.0,,Murder Mystery 2
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,172400000,June,2023.0,1,The Surrogacy // Madre de alquiler: Temporada 1
"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000,,,1,"Pablo Escobar, el patrón del mal"
Never Have I Ever: Season 4,Yes,2023-06-08,168300000,June,2023.0,4,Never Have I Ever
Your Place or Mine,Yes,2023-02-10,163000000,February,2023.0,,Your Place or Mine
Chiquititas (2013),No,,162000000,,,,Chiquititas (2013)
Emily in Paris: Season 3,Yes,2022-12-21,161100000,December,2022.0,3,Emily in Paris
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,157600000,December,2022.0,2,Alice in Borderland // 今際の国のアリス: シーズン2
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,155300000,June,2022.0,,Alchemy of Souls: Part 1 // 환혼: 파트 1
Outer Banks: Season 2,Yes,2021-07-30,153900000,July,2021.0,2,Outer Banks
New Amsterdam (2018): Season 1,No,,153000000,,,1,New Amsterdam (2018)
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,152100000,October,2022.0,1,Til Money Do Us Part // Hasta que la plata nos separe: Temporada 1
Mr. Queen // 철인왕후,No,,151500000,,,,Mr. Queen // 철인왕후
Manifest: Season 1,No,2021-06-10,151400000,June,2021.0,1,Manifest
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,150200000,December,2022.0,,Alchemy of Souls: Part 2 // 환혼: 파트 2
PAW Patrol: Season 6,No,,149300000,,,6,PAW Patrol
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,148600000,April,2023.0,,The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈
