title,available_globally?,release_date,hours_viewed,runtime,views,month,year,season_number,show_name
Back in Action,Yes,2025-01-17,313000000,1:54,164700000,January,2025.0,,Back in Action
STRAW,Yes,2025-06-06,185200000,1:48,102900000,June,2025.0,,STRAW
The Life List,Yes,2025-03-28,198900000,2:05,95500000,March,2025.0,,The Life List
Exterritorial,Yes,2025-04-30,159000000,1:49,87500000,April,2025.0,,Exterritorial
Havoc,Yes,2025-04-25,154900000,1:47,86900000,April,2025.0,,Havoc
The Secret Life of Pets 2,No,,106800000,1:26,74500000,,,,The Secret Life of Pets 2
The Electric State,Yes,2025-03-14,158200000,2:08,74200000,March,2025.0,,The Electric State
Counterattack // Contraataque,Yes,2025-02-28,101000000,1:25,71300000,February,2025.0,,Counterattack // Contraataque
Ad Vitam,Yes,2025-01-10,114000000,1:38,69800000,January,2025.0,,Ad Vitam
Despicable Me 4,No,,109400000,1:34,69800000,,,,Despicable Me 4
The Secret Life of Pets,No,,95600000,1:27,65900000,,,,The Secret Life of Pets
Kinda Pregnant,Yes,2025-02-05,98100000,1:40,58900000,February,2025.0,,Kinda Pregnant
Nonnas,Yes,2025-05-09,109500000,1:54,57600000,May,2025.0,,Nonnas
iHostage,Yes,2025-04-18,97600000,1:42,57400000,April,2025.0,,iHostage
La Dolce Villa,Yes,2025-02-13,91500000,1:39,55500000,February,2025.0,,La Dolce Villa
The Boss Baby,No,,90100000,1:38,55200000,,,,The Boss Baby
Minions,No,,82100000,1:31,54100000,,,,Minions
Shrek,No,,80200000,1:30,53500000,,,,Shrek
Plankton: The Movie,Yes,2025-03-07,74200000,1:28,50600000,March,2025.0,,Plankton: The Movie
Despicable Me 3,No,,73600000,1:30,49100000,,,,Despicable Me 3
Carry-On,Yes,2024-12-13,95400000,2:00,47700000,December,2024.0,,Carry-On
Despicable Me 2,No,,75000000,1:38,45900000,,,,Despicable Me 2
Shrek 2,No,,69000000,1:33,44500000,,,,Shrek 2
Bad Influence // Mala influencia,Yes,2025-05-09,78600000,1:47,44100000,May,2025.0,,Bad Influence // Mala influencia
K.O.,Yes,2025-06-06,63100000,1:27,43500000,June,2025.0,,K.O.
